regressor,n_bonds,silhouette_alignment,silhouette_cutcost,method_agreement,cluster_0_size,cluster_1_size
XAUUSD,292,0.2237868371433754,0.11148626469503346,0.5205479452054794,151,141
WTI,292,0.20629070352215298,-0.28624024559885275,0.5034246575342466,146,146
DXY,292,0.22356551736021343,-0.30920195077610624,0.5547945205479452,131,161
SPX_Index,292,0.29739586156722037,-0.006648012941614344,0.4726027397260274,153,139
US_fed_funds_effe_rate,292,0.2936622648286973,-0.31994646917819114,0.4726027397260274,153,139
CPI_CHNG_Index,292,0.1329003426024424,-0.5392106945215749,0.5,145,147
M_0,292,0.3580478157198698,-0.46277358249485884,0.4520547945205479,133,159
BOJ_rate,292,0.3834712822504003,-0.46467220891191074,0.4794520547945205,151,141
Carbon_Price_Index,292,0.2899227644997025,-0.4399216025169468,0.4931506849315068,145,147
CO,292,0.09937835584611401,-0.4177313304664544,0.5068493150684932,145,147
AQI,292,0.15184728229793595,-0.4746945700056278,0.5034246575342466,146,146
Temperature,292,0.1721138313564373,0.0601427519589044,0.5,147,145
